"",,,Interventions,None,,,Build_Wetland,,,Clean_Races,,,Farm_Plan,,,Join_ETS,,,Riparian_Planting,,
"",Type,Price,Area,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue,Cost,Income,Revenue
4595,SNB,5,82,190782.9,192798.2,2015.3,192081.1,154238.6,-37842.5,NA,NA,NA,190823.8,183158.3,-7665.5,187105.8,144598.7,-42507.1,192163.1,154238.6,-37924.5
4596,SNB,5,60,38041.7,39731.8,1690.1,39142.9,31785.4,-7357.5,NA,NA,NA,38162.4,37745.2,-417.2,36107.6,29798.8,-6308.8,39202.9,31785.4,-7417.5
4597,SNB,5,85,114632.7,128802.3,14169.5,116130.2,103041.8,-13088.4,NA,NA,NA,114766.2,122362.2,7595.9,111580.3,96601.7,-14978.6,116215.2,103041.8,-13173.4
4598,Forest,157,52,177947.6,214509.2,36561.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,178932.2,235960.1,57027.9,NA,NA,NA
4599,SNB,5,63,81324.8,84590.9,3266.1,82421.3,67672.8,-14748.6,NA,NA,NA,81415.7,80361.4,-1054.3,78995.1,63443.2,-15551.9,82484.3,67672.8,-14811.6
4600,Dairy,7.5,92,640653.4,752121.3,111467.9,645812.5,737078.9,91266.4,647334.1,752121.3,104787.3,642684.5,744600.1,101915.6,631984,564091,-67893,646527.3,737078.9,90551.6
4601,Crop,0.5,201,481796,793987.1,312191.1,488383.6,714588.4,226204.8,NA,NA,NA,NA,NA,NA,500664.1,714588.4,213924.3,483809.9,786047.2,302237.3
4602,Crop,0.5,306,730504,1211868,481364,740538.5,1090681.2,350142.7,NA,NA,NA,NA,NA,NA,759256.6,1090681.2,331424.6,733574.4,1199749.4,466174.9
4603,Crop,0.5,161,363416.8,590685.7,227269,368710.1,531617.2,162907.1,NA,NA,NA,NA,NA,NA,378613.4,531617.2,153003.8,365043.2,584778.9,219735.7
4604,SNB,5,26,35103.3,38063.1,2959.7,35533.9,30450.5,-5083.5,NA,NA,NA,35127.7,36159.9,1032.2,34032.4,28547.3,-5485.1,35559.9,30450.5,-5109.5
4605,Forest,157,148,483283,589825.9,106542.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,486178.9,648808.5,162629.6,NA,NA,NA
4606,Forest,157,68,233467.1,280020,46552.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,234637.7,308022,73384.3,NA,NA,NA
4607,Crop,0.5,176,442081.2,740143.5,298062.3,447832.7,666129.1,218296.4,NA,NA,NA,NA,NA,NA,458518.6,666129.1,207610.5,443831.2,732742,288910.9
4608,Dairy,7.5,22,126335.5,155364.4,29028.9,127572.4,152257.1,24684.8,127933.7,155364.4,27430.7,126824.4,153810.8,26986.4,124293.9,116523.3,-7770.6,127742,152257.1,24515.1
4609,SNB,5,105,168901.3,186074.8,17173.5,170655.7,148859.8,-21795.8,NA,NA,NA,169008.9,176771.1,7762.2,164653.1,139556.1,-25097,170760.7,148859.8,-21900.8
4610,SNB,5,90,105110.6,111863,6752.4,106659.6,89490.4,-17169.2,NA,NA,NA,105230,106269.9,1039.8,101695.7,83897.3,-17798.4,106749.6,89490.4,-17259.2
4611,Dairy,7.5,23,144225.1,160071.6,15846.5,145488.7,156870.2,11381.5,145890,160071.6,14181.6,144706.7,158470.9,13764.2,141795.6,120053.7,-21741.8,145677.9,156870.2,11192.3
4612,Crop,0.5,34,93387,140844.8,47457.8,94492.8,126760.3,32267.5,NA,NA,NA,NA,NA,NA,96536,126760.3,30224.3,93720.8,139436.4,45715.5
4613,Crop,0.5,169,454382.4,723929.7,269547.3,459899.3,651536.7,191637.4,NA,NA,NA,NA,NA,NA,470136.9,651536.7,181399.8,456058.1,716690.4,260632.3
4614,Dairy,7.5,24,148252,195685.4,47433.5,149607.3,191771.7,42164.4,149996.6,195685.4,45688.8,148791.3,193728.6,44937.3,146085.2,146764.1,678.9,149790,191771.7,41981.8
4615,Crop,0.5,295,764564.5,1231881.6,467317.1,774209.8,1108693.4,334483.7,NA,NA,NA,NA,NA,NA,792140.8,1108693.4,316552.6,767501.7,1219562.8,452061.1
4616,Crop,0.5,63,151904.5,253045.6,101141,153962.5,227741,73778.5,NA,NA,NA,NA,NA,NA,157784.4,227741,69956.6,152530.3,250515.1,97984.8
4617,SNB,5,120,166473.3,186390.6,19917.3,168503.7,149112.5,-19391.2,NA,NA,NA,166611.5,177071.1,10459.6,161745.3,139793,-21952.3,168623.7,149112.5,-19511.2
4618,Crop,0.5,68,168313.7,274272.8,105959.1,170545.4,246845.5,76300.1,NA,NA,NA,NA,NA,NA,174712.3,246845.5,72133.2,168997.5,271530.1,102532.6
4619,Forest,157,51,156798.5,201422.3,44623.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,157818.1,221564.5,63746.4,NA,NA,NA
4620,Dairy,7.5,145,803830.3,941923.9,138093.6,812043.1,923085.4,111042.4,814375.9,941923.9,127548.1,807113.1,932504.7,125391.6,790982.8,706442.9,-84539.9,813137,923085.4,109948.5
4621,Crop,0.5,66,144440.6,240464.3,96023.7,146606.5,216417.9,69811.4,NA,NA,NA,NA,NA,NA,150650,216417.9,65767.9,145104.1,238059.7,92955.6
4622,Dairy,7.5,134,961273.2,1156678,195404.8,968784.8,1133544.5,164759.6,971003.1,1156678,185674.9,964228.8,1145111.2,180882.4,948619.6,867508.5,-81111.1,969827,1133544.5,163717.5
4623,Crop,0.5,126,319517,514555.7,195038.7,323639.9,463100.2,139460.2,NA,NA,NA,NA,NA,NA,331311.5,463100.2,131788.7,320774.2,509410.2,188636
4624,SNB,5,57,133029.5,145519.3,12489.8,133947.2,116415.4,-17531.8,NA,NA,NA,133067.1,138243.3,5176.2,130549.9,109139.4,-21410.5,134004.2,116415.4,-17588.8
4625,Dairy,7.5,41,246392.4,283347.4,36955,248717.4,277680.4,28963.1,249374.8,283347.4,33972.6,247323.4,280513.9,33190.6,242787.3,212510.5,-30276.7,249025.6,277680.4,28654.9
4626,Crop,0.5,26,53739.7,97093,43353.3,54592,87383.7,32791.7,NA,NA,NA,NA,NA,NA,56181.4,87383.7,31202.2,54000.3,96122,42121.7
4627,SNB,5,96,155420.9,167287,11866,157092.5,133829.6,-23262.9,NA,NA,NA,155559.8,158922.6,3362.8,151874.5,125465.2,-26409.3,157188.5,133829.6,-23358.9
4628,Dairy,7.5,81,426803,515404.6,88601.6,431403.9,505096.5,73692.6,432696.6,515404.6,82708,428649.9,510250.5,81600.7,419756.5,386553.4,-33203,432009.7,505096.5,73086.8
4629,Dairy,7.5,108,630648.4,726991.2,96342.7,636790.1,712451.3,75661.2,638508,726991.2,88483.2,633118.1,719721.2,86603.1,621325.5,545243.4,-76082.2,637595.1,712451.3,74856.3
4630,Crop,0.5,284,722976.9,1178350.6,455373.7,732281.9,1060515.5,328233.6,NA,NA,NA,NA,NA,NA,749621.9,1060515.5,310893.6,725820.1,1166567,440747
4631,SNB,5,69,132423.3,140433.1,8009.8,133534.3,112346.5,-21187.9,NA,NA,NA,132468.9,133411.5,942.5,129422.4,105324.8,-24097.6,133603.3,112346.5,-21256.9
4632,Forest,157,114,362321.3,442844,80522.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,364782.7,487128.4,122345.7,NA,NA,NA
4633,SNB,5,52,38721.3,46035.9,7314.5,39665,36828.7,-2836.3,NA,NA,NA,38819.5,43734.1,4914.6,36991.5,34526.9,-2464.6,39717,36828.7,-2888.3
4634,Forest,157,212,723890.5,865182.8,141292.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,727763.3,951701.1,223937.8,NA,NA,NA
4635,Dairy,7.5,182,1055658.3,1256493.8,200835.5,1066082.9,1231364,165281,1068918.1,1256493.8,187575.8,1059894.9,1243928.9,184034,1040694.5,942370.4,-98324.1,1067409.5,1231364,163954.5
4636,Crop,0.5,73,203288.5,308619.4,105330.9,205674.6,277757.5,72082.9,NA,NA,NA,NA,NA,NA,210108.7,277757.5,67648.8,204014.7,305533.3,101518.5
4637,Crop,0.5,75,192486.1,320483.4,127997.3,194937.6,288435,93497.4,NA,NA,NA,NA,NA,NA,199493.6,288435,88941.4,193232.3,317278.5,124046.2
4638,Forest,157,69,235540.6,277251.9,41711.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,236789.4,304977.1,68187.7,NA,NA,NA
4639,Crop,0.5,50,127198.3,198617.7,71419.4,128830.7,178755.9,49925.3,NA,NA,NA,NA,NA,NA,131860.1,178755.9,46895.8,127694.2,196631.5,68937.3
4640,Dairy,7.5,168,1197616.8,1426678.6,229061.8,1207025.8,1398145,191119.1,1209813.8,1426678.6,216864.8,1201313.8,1412411.8,211097.9,1181667.4,1070008.9,-111658.5,1208335.8,1398145,189809.2
4641,SNB,5,141,200552.2,229695.4,29143.2,202933.5,183756.3,-19177.2,NA,NA,NA,200712,218210.6,17498.7,194974.8,172271.6,-22703.2,203074.5,183756.3,-19318.2
4642,Crop,0.5,41,102785.4,171653.7,68868.3,104129.6,154488.3,50358.8,NA,NA,NA,NA,NA,NA,106636.3,154488.3,47852,103196.5,169937.2,66740.6
4643,Forest,157,83,274155.1,340954.4,66799.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,275665.2,375049.8,99384.6,NA,NA,NA
4644,SNB,5,96,132987.5,146105.3,13117.8,134583.2,116884.2,-17699,NA,NA,NA,133080.9,138800,5719.1,129062,109579,-19483,134679.2,116884.2,-17795
4645,Crop,0.5,110,244584.9,396462.3,151877.4,248197.3,356816,108618.8,NA,NA,NA,NA,NA,NA,254946.9,356816,101869.2,245692.8,392497.6,146804.9
4646,Crop,0.5,84,222694.7,356334.3,133639.6,225433.1,320700.9,95267.8,NA,NA,NA,NA,NA,NA,230506.6,320700.9,90194.2,223524.6,352770.9,129246.3
4647,Dairy,7.5,203,1154529.9,1423783.4,269253.5,1166137.3,1395307.8,229170.5,1169315.6,1423783.4,254467.8,1159235.3,1409545.6,250310.3,1137638.8,1067837.6,-69801.2,1167625,1395307.8,227682.8
4648,SNB,5,36,53158.5,61651.8,8493.3,53775.6,49321.4,-4454.2,NA,NA,NA,53204.7,58569.2,5364.4,51780.1,46238.8,-5541.3,53811.6,49321.4,-4490.2
4649,Forest,157,164,541162.9,690469.9,149307,NA,NA,NA,NA,NA,NA,NA,NA,NA,544312.1,759516.9,215204.9,NA,NA,NA
4650,Crop,0.5,51,122129.7,191503.5,69373.7,123797.6,172353.1,48555.5,NA,NA,NA,NA,NA,NA,126899.2,172353.1,45453.9,122637.9,189588.4,66950.6
4651,Forest,157,79,270069.8,338793.4,68723.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,271436.3,372672.8,101236.5,NA,NA,NA
4652,Crop,0.5,63,155297.4,248041.2,92743.8,157357.4,223237.1,65879.7,NA,NA,NA,NA,NA,NA,161187.6,223237.1,62049.5,155924.8,245560.8,89636
4653,SNB,5,66,81497,93171.8,11674.7,82656.8,74537.4,-8119.4,NA,NA,NA,81598.9,88513.2,6914.3,79111.9,69878.8,-9233.1,82722.8,74537.4,-8185.4
4654,Dairy,7.5,55,422089.6,502928.6,80839,425142.6,492870,67727.5,426077.2,502928.6,76851.4,423272.6,497899.3,74626.8,416594.6,377196.4,-39398.1,425582.4,492870,67287.7
4655,Forest,157,66,214142.4,266912.8,52770.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,215411.9,293604.1,78192.2,NA,NA,NA
4656,Forest,157,58,186856.6,248295.6,61439,NA,NA,NA,NA,NA,NA,NA,NA,NA,187907.4,273125.1,85217.8,NA,NA,NA
4657,Crop,0.5,157,362931.3,583246.7,220315.3,368087.3,524922,156834.7,NA,NA,NA,NA,NA,NA,377720.9,524922,147201.1,364512.7,577414.2,212901.5
4658,Dairy,7.5,148,854635.6,1044234.6,189599,863091.4,1023349.9,160258.5,865414,1044234.6,178820.6,858059.4,1033792.3,175732.8,842253.7,783176,-59077.8,864178.7,1023349.9,159171.2
4659,Crop,0.5,78,175039.3,286324.9,111285.6,177602.5,257692.4,80089.9,NA,NA,NA,NA,NA,NA,182395.4,257692.4,75296.9,175826.3,283461.6,107635.4
4660,Crop,0.5,62,151626.5,241281.1,89654.7,153662.3,217153,63490.7,NA,NA,NA,NA,NA,NA,157465.5,217153,59687.5,152250.7,238868.3,86617.6
4661,Forest,157,45,157038.5,190376.4,33337.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,157755.6,209414,51658.5,NA,NA,NA
4662,Dairy,7.5,59,413922.7,566642.2,152719.4,417172.9,555309.3,138136.5,418195.4,566642.2,148446.8,415166.9,560975.8,145808.9,407778.9,424981.6,17202.7,417654.6,555309.3,137654.7
4663,Crop,0.5,154,382598.9,621074.7,238475.7,387647,558967.2,171320.2,NA,NA,NA,NA,NA,NA,397059.1,558967.2,161908.1,384142.5,614863.9,230721.4
4664,Dairy,7.5,113,646133,774375,128242,652525.2,758887.5,106362.3,654349.6,774375,120025.4,648683.2,766631.3,117948.1,636040.1,580781.3,-55258.9,653380.9,758887.5,105506.6
4665,Dairy,7.5,215,1134707.7,1356970.1,222262.4,1146969.2,1329830.7,182861.5,1150361,1356970.1,206609.1,1139659.2,1343400.4,203741.2,1116497.8,1017727.6,-98770.2,1148557.6,1329830.7,181273.1
4666,Crop,0.5,51,128855.4,214243.3,85387.9,130522,192819,62296.9,NA,NA,NA,NA,NA,NA,133618.5,192819,59200.4,129362.5,212100.9,82738.3
4667,Dairy,7.5,74,432885.3,533651.8,100766.6,437095.4,522978.8,85883.4,438270.9,533651.8,95380.9,434579.4,528315.3,93735.9,426516.5,400238.9,-26277.6,437646.2,522978.8,85332.6
4668,Crop,0.5,112,254876.4,423993.8,169117.3,258551.4,381594.4,123043,NA,NA,NA,NA,NA,NA,265411.4,381594.4,116183,256002,419753.8,163751.8
4669,Dairy,7.5,162,1051730.2,1291434.4,239704.2,1060871.9,1265605.7,204733.8,1063505.3,1291434.4,227929.1,1055363.9,1278520.1,223156.1,1037037.4,968575.8,-68461.6,1062107.6,1265605.7,203498.1
4670,SNB,5,37,93513,98816.9,5304,94105,79053.6,-15051.4,NA,NA,NA,93535.2,93876.1,340.9,91885.2,74112.7,-17772.5,94142,79053.6,-15088.4
4671,SNB,5,85,149393,169536.9,20143.8,150857.6,135629.5,-15228.1,NA,NA,NA,149506.8,161060,11553.3,146175.9,127152.7,-19023.2,150942.6,135629.5,-15313.1
4672,Crop,0.5,217,544800,881930.7,337130.7,551913.9,793737.6,241823.7,NA,NA,NA,NA,NA,NA,565179.4,793737.6,228558.2,546975.7,873111.4,326135.7
4673,Dairy,7.5,96,626140.7,771657.9,145517.2,631501.9,756224.8,124722.8,633107.4,771657.9,138550.6,628237.9,763941.3,135703.4,616872.9,578743.4,-38129.4,632256.6,756224.8,123968.1
4674,Crop,0.5,66,185939.2,295384.6,109445.4,188084.3,265846.1,77761.8,NA,NA,NA,NA,NA,NA,192044.9,265846.1,73801.2,186586.1,292430.7,105844.6
4675,Crop,0.5,51,122200.3,192897.1,70696.8,123869.9,173607.4,49737.5,NA,NA,NA,NA,NA,NA,126978.1,173607.4,46629.3,122709.8,190968.2,68258.4
4676,Dairy,7.5,38,306598.6,367743.9,61145.3,308662.1,360389.1,51726.9,309344.5,367743.9,58399.4,307370.1,364066.5,56696.4,302343.8,275808,-26535.8,308984.3,360389.1,51404.7
4677,Crop,0.5,90,258609,413187.8,154578.8,261545.9,371869.1,110323.1,NA,NA,NA,NA,NA,NA,266993.5,371869.1,104875.6,259500.5,409056,149555.4
4678,SNB,5,51,83937.2,90056.6,6119.4,84779.4,72045.3,-12734.1,NA,NA,NA,83983.5,85553.7,1570.2,81824.1,67542.4,-14281.6,84830.4,72045.3,-12785.1
4679,Dairy,7.5,167,969524,1166068.6,196544.7,979002.7,1142747.3,163744.5,981673.5,1166068.6,184395.1,973324.7,1154408,181083.2,954926.7,874551.5,-80375.2,980254.6,1142747.3,162492.6
4680,Forest,157,88,293498.3,365990.4,72492,NA,NA,NA,NA,NA,NA,NA,NA,NA,295247.4,402589.4,107342,NA,NA,NA
4681,Forest,157,91,315329.6,396666.2,81336.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,316903.2,436332.8,119429.6,NA,NA,NA
4682,SNB,5,116,96858.9,105302.1,8443.2,98972.4,84241.6,-14730.8,NA,NA,NA,97083,100037,2954,93042.6,78976.5,-14066,99088.4,84241.6,-14846.8
4683,Crop,0.5,127,325005.6,524864.6,199858.9,329162.9,472378.1,143215.3,NA,NA,NA,NA,NA,NA,336901.8,472378.1,135476.3,326274,519615.9,193341.9
4684,Crop,0.5,30,87082.9,138429.3,51346.4,88057.6,124586.4,36528.8,NA,NA,NA,NA,NA,NA,89856.2,124586.4,34730.1,87376.7,137045,49668.3
4685,Forest,157,57,190798.3,249087.8,58289.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,191902.5,273996.6,82094.1,NA,NA,NA
4686,Dairy,7.5,103,454660.1,572291.8,117631.7,460676.9,560846,100169,462187.6,572291.8,110104.2,457174.9,566568.9,109394,447363.8,429218.9,-18145,461380.8,560846,99465.2
4687,Crop,0.5,107,291231.5,461606.6,170375.1,294716.5,415446,120729.4,NA,NA,NA,NA,NA,NA,301166.6,415446,114279.3,292286.1,456990.6,164704.4
4688,Forest,157,119,411934.3,502092.9,90158.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,414231.9,552302.2,138070.3,NA,NA,NA
4689,Dairy,7.5,231,1347381.5,1593839.7,246458.2,1360443.3,1561962.9,201519.6,1364177.3,1593839.7,229662.4,1352589.3,1577901.3,225312,1326694.3,1195379.8,-131314.5,1362194.8,1561962.9,199768.1
4690,Forest,157,87,324118.2,381035.8,56917.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,325557.2,419139.4,93582.1,NA,NA,NA
4691,Crop,0.5,129,292532.5,477222.4,184689.9,296771.2,429500.2,132729,NA,NA,NA,NA,NA,NA,304695.8,429500.2,124804.4,293833.6,472450.2,178616.6
4692,Forest,157,112,355965.9,462712.2,106746.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,358121.1,508983.5,150862.4,NA,NA,NA
4693,Forest,157,52,182766.4,228437.4,45671,NA,NA,NA,NA,NA,NA,NA,NA,NA,183505.4,251281.1,67775.7,NA,NA,NA
4694,Crop,0.5,15,40662.7,62711.1,22048.4,41154.2,56440,15285.8,NA,NA,NA,NA,NA,NA,42070.2,56440,14369.7,40812.9,62084,21271.1
